match,participant,equipepart,temps,score
1,1,,00:00:09.86,
1,2,,00:00:09.94,
1,3,,00:00:09.92,
1,4,,00:00:10.07,
1,5,,00:00:10.11,
1,6,,00:00:10.13,
1,7,,00:00:10.16,
1,8,,00:00:10.01,
1,9,,00:00:09.95,
1,10,,00:00:10.23,
2,1,,00:00:09.81,
2,2,,00:00:09.89,
2,3,,00:00:09.91,
2,8,,00:00:09.93,
3,1,,00:00:19.78,
3,2,,00:00:20.13,
3,3,,00:00:19.80,
3,4,,00:00:20.01,
3,5,,00:00:20.05,
3,6,,00:00:20.10,
3,7,,00:00:19.94,
3,8,,00:00:20.37,
3,9,,00:00:20.20,
3,10,,00:00:20.35,
4,1,,00:00:19.78,
4,2,,00:00:20.43,
4,3,,00:00:20.02,
4,4,,00:00:20.12,
5,1,,00:00:44.45,
5,2,,00:00:45.05,
5,3,,00:00:45.20,
5,4,,00:00:46.02,
5,5,,00:00:44.45,
5,6,,00:00:44.02,
5,7,,00:00:44.21,
5,8,,00:00:44.75,
5,9,,00:00:44.87,
5,10,,00:00:45.89,
6,5,,00:00:43.03,
6,6,,00:00:43.76,
6,7,,00:00:43.85,
6,10,,00:00:44.50,
7,11,,00:00:10.88,
7,12,,00:00:10.90,
7,13,,00:00:10.88,
7,14,,00:00:10.90,
7,15,,00:00:11.29,
7,16,,00:00:10.99,
7,17,,00:00:11.25,
7,18,,00:00:11.17,
7,19,,00:00:11.05,
7,20,,00:00:11.02,
8,11,,00:00:10.71,
8,12,,00:00:10.83,
8,13,,00:00:10.86,
8,14,,00:00:10.90,
9,11,,00:00:22.13,
9,12,,00:00:22.13,
9,13,,00:00:22.59,
9,14,,00:00:21.96,
9,15,,00:00:22.81,
9,16,,00:00:23.05,
9,17,,00:00:22.84,
9,18,,00:00:22.73,
9,19,,00:00:22.94,
9,20,,00:00:22.49,
10,11,,00:00:21.78,
10,14,,00:00:21.88,
10,12,,00:00:22.15,
10,20,,00:00:22.31,
11,16,,00:00:49.67,
11,18,,00:00:49.83,
11,15,,00:00:49.91,
11,11,,00:00:50.60,
11,12,,00:00:50.34,
11,13,,00:00:50.41,
11,14,,00:00:50.97,
11,17,,00:00:51.53,
11,19,,00:00:51.93,
11,20,,00:00:52.68,
12,15,,00:00:49.44,
12,16,,00:00:49.51,
12,18,,00:00:49.85,
12,20,,00:00:50.01,
13,47,,02:08:44,
13,51,,02:09:54,
13,48,,02:10:05,
13,49,,02:11:30,
14,21,,00:03:44.23,
14,22,,00:03:50.00,
14,23,,00:03:43.42,
14,24,,00:03:45.12,
14,52,,00:03:43.84,
14,53,,00:03:43.95,
15,21,,00:03:41.68,
15,52,,00:03:51.55,
15,53,,00:03:43.49,
15,23,,00:03:44.01,
16,25,,00:00:52.10,
16,46,,00:00:51.58,
16,55,,00:00:51.57,
16,56,,00:00:50.83,
16,22,,00:00:51.43,
17,56,,00:00:50.39,
17,46,,00:00:51.14,
17,22,,00:00:51.14,
17,55,,00:00:51.14,
18,55,,00:01:55.18,
18,22,,00:01:55.19,
18,46,,00:01:54.12,
18,57,,00:01:53.96,
18,58,,00:01:55.32,
19,46,,00:01:53.36,
19,58,,00:01:53.40,
19,57,,00:01:53.62,
19,22,,00:01:54.06,
19,55,,00:01:56.24,
20,,7,,31
20,,12,,25
21,,8,,28
21,,5,,26
22,,11,,26
22,,9,,36
23,,6,,19
23,,10,,50
